Q,Negociação,C/V,Tipo mercado,Prazo,Especificação do título,Obs. (*),Quantidade,Preço / Ajuste,Valor Operação / Ajuste,D/C
-,1-BOVESPA,C,FRACIONARIO,-,MAGAZ LUIZAON NM,-,69,"2,24","154,56",D
-,1-BOVESPA,C,FRACIONARIO,-,MAGAZ LUIZAON NM,-,30,"2,24","67,20",D
